name,address,lat,lon,top_category,sub_category,base_type,source,raw
중랑천 자전거길 출입로,,37.6840105,127.0517195,느좋,하천/강변,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""중랑천 자전거길 출입로"", ""surface"": ""asphalt""}"
중랑천 산책로,,37.6765868,127.0496531,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""no"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 자전거길 출입로,,37.6816822,127.051083,느좋,하천/강변,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""handrail"": ""yes"", ""highway"": ""footway"", ""lit"": ""yes"", ""name"": ""중랑천 자전거길 출입로"", ""surface"": ""asphalt""}"
도봉로170길,,37.6802395,127.047508,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로170길"", ""name:en"": ""Dobong-ro 170-gil"", ""name:ko"": ""도봉로170길"", ""surface"": ""asphalt"", ""width"": ""2""}"
갈대밭 어린이공원,,37.6743459,127.0458147,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""갈대밭 어린이공원""}"
도봉로,,37.6779409,127.0451871,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉로,,37.6712619,127.0436423,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""3""}"
도봉로,,37.6712579,127.0440838,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉로,,37.6695801,127.0438186,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉로,,37.6670437,127.0433713,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""crossing"": ""uncontrolled"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉로,,37.6660791,127.0432225,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""crossing"": ""uncontrolled"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,,37.6820118,127.0511762,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""no"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,,37.6712378,127.0484233,느좋,둘레길/숲길,FOOTWAY,OSM,"{""access"": ""no"", ""bicycle"": ""no"", ""foot"": ""designated"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉산역,,37.6891914,127.0466943,느좋,둘레길/숲길,FOOTWAY,OSM,"{""highway"": ""footway"", ""lit"": ""yes"", ""name"": ""도봉산역"", ""surface"": ""paving_stones"", ""width"": ""3""}"
북한산 아이파크 공원,,37.6578849,127.0437438,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""북한산 아이파크 공원""}"
금성윗들 소공원,,37.6676648,127.0447755,느좋,근린공원,PARK,OSM,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:postcode"": ""01332"", ""addr:street"": ""도봉로150마길"", ""leisure"": ""park"", ""name"": ""금성윗들 소공원""}"
북한산둘레길 18구간 도봉옛길,,37.6844497,127.0300981,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""no"", ""handrail"": ""yes"", ""highway"": ""footway"", ""name"": ""북한산둘레길 18구간 도봉옛길"", ""sac_scale"": ""hiking"", ""surface"": ""wood"", ""width"": ""1.6""}"
중랑천 산책로,,37.6689801,127.0483376,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
가을단풍길 (중랑천변길),,37.6751019,127.0492313,느좋,하천/강변,FOOTWAY,OSM,"{""bicycle"": ""dismount"", ""highway"": ""footway"", ""lit"": ""yes"", ""name"": ""가을단풍길 (중랑천변길)"", ""name:ko"": ""가을단풍길 (중랑천변길)"", ""oneway"": ""no"", ""surface"": ""ground"", ""width"": ""3""}"
노해로66길,,37.6466511,127.0499625,느좋,둘레길/숲길,FOOTWAY,OSM,"{""highway"": ""footway"", ""name"": ""노해로66길"", ""name:en"": ""Nohae-ro 66-gil"", ""name:ko"": ""노해로66길""}"
다락원 체육공원,,37.6921713,127.0476263,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""다락원 체육공원"", ""name:ko"": ""다락원 체육공원""}"
중랑천 산책로,,37.679887,127.0506121,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,,37.679679,127.0505523,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""no"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,,37.6584996,127.0521111,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,,37.6561741,127.0533312,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉로,,37.6696535,127.0438397,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
개나리어린이공원,,37.6673447,127.0371253,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""개나리어린이공원""}"
북한산둘레길 18코스 도봉옛길 (무장애 탐방구간),,37.6838518,127.0305088,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""no"", ""handrail"": ""yes"", ""highway"": ""footway"", ""name"": ""북한산둘레길 18코스 도봉옛길 (무장애 탐방구간)"", ""sac_scale"": ""hiking"", ""surface"": ""wood"", ""width"": ""1.6""}"
[북한산둘레길] 20구간 왕실묘역길,,37.6615332,127.0153041,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""[북한산둘레길] 20구간 왕실묘역길"", ""surface"": ""paving_stones"", ""width"": ""2""}"
[북한산둘레길] 20구간 왕실묘역길,,37.6614771,127.0158533,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""[북한산둘레길] 20구간 왕실묘역길"", ""surface"": ""paving_stones"", ""width"": ""2""}"
평화도봉공원,,37.6631453,127.0421286,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""평화도봉공원""}"
북한산둘레길,,37.6689746,127.0241304,느좋,둘레길/숲길,HIKING,OSM,"{""name"": ""북한산둘레길"", ""route"": ""hiking"", ""type"": ""route""}"
북한산둘레길,,37.7035815,127.0061364,느좋,둘레길/숲길,HIKING,OSM,"{""name"": ""북한산둘레길"", ""name:en"": ""Bukhansan Dulle-gil"", ""name:ko"": ""북한산둘레길"", ""operator"": ""북한산국립공원관리공단"", ""route"": ""hiking"", ""type"": ""route""}"
[북한산둘레길] 17구간 다락원길,,37.7008254,127.0419233,느좋,둘레길/숲길,HIKING,OSM,"{""from"": ""원도봉입구"", ""name"": ""[북한산둘레길] 17구간 다락원길"", ""route"": ""hiking"", ""to"": ""다락원"", ""type"": ""route""}"
[북한산둘레길] 18구간 도봉옛길,,37.6852087,127.0344615,느좋,둘레길/숲길,HIKING,OSM,"{""name"": ""[북한산둘레길] 18구간 도봉옛길"", ""route"": ""hiking"", ""type"": ""route""}"
[북한산둘레길] 19구간 방학동길,,37.6693503,127.0287522,느좋,둘레길/숲길,HIKING,OSM,"{""name"": ""[북한산둘레길] 19구간 방학동길"", ""route"": ""hiking"", ""type"": ""route""}"
